Device Name,Device ID
CF005,a61c6f00-126a-11f0-9b61-fbae16f6d273
PUMP-0701,a6217810-126a-11f0-9b61-fbae16f6d273
FD-0800,a626a830-126a-11f0-9b61-fbae16f6d273
TEMP-0600,a62c4d80-126a-11f0-9b61-fbae16f6d273
CAM-0700,a6326800-126a-11f0-9b61-fbae16f6d273
CF006,a6374a00-126a-11f0-9b61-fbae16f6d273
FD-0900,a63c7a20-126a-11f0-9b61-fbae16f6d273
PUMP-0800,a6415c20-126a-11f0-9b61-fbae16f6d273
CF007,a66b5250-126a-11f0-9b61-fbae16f6d273
B001,abd777b0-f1ee-11ef-b2fb-b51d9073de7b
T001,bc6842a0-f1ec-11ef-b2fb-b51d9073de7b
TEMP-0100,c40239b0-f1cb-11ef-b2fb-b51d9073de7b
PUMP-0100,dd0aa720-f1cc-11ef-b2fb-b51d9073de7b
T002,df175980-f1ec-11ef-b2fb-b51d9073de7b
WV-0100,ee521080-f1cd-11ef-b2fb-b51d9073de7b
API001,f89b6a20-f1ee-11ef-b2fb-b51d9073de7b
